06/05/2025;9750;Provision sur frais notaire (compromis)
06/05/2025;275;Acompte notaire
06/05/2025;425;apport perso frais notaire compromis
06/05/2025;-425;frais notaire compromis
28/08/2025;-1000;PRET IMMOBILIER FRAIS D ETUDES
04/09/2025;-577,94;PRET IMMO COMMISSION DE CAUTION
04/09/2025;-2518,91;PRET IMMO COMMISSION DE CAUTION
04/09/2025;-16500;frais notaire
04/09/2025;-34320;achat appart (Immobilisation IGT)
04/09/2025;-25740;achat appart (Immobilisation agencements)
04/09/2025;-17160;achat appart (Immobilisation Facade/Toiture)
04/09/2025;-94380;achat appart (Immobilisation structure/GO)
04/09/2025;-23400;achat appart (Part terrain)
04/09/2025;18870;Montant du prêt
04/09/2025;159540;Montant du prêt
04/09/2025;23065;cash apport notaire
08/09/2025;3932,36;cash apport louis
08/09/2025;2067,64;cash apport louis
13/09/2025;-138,22;PRET IMMOBILIER ECH 13/09/25
17/09/2025;-529,87;Virement delta achat (taxe fonciere 2025)
17/09/2025;-99,14;Virement delta achat (charges copro aout/sept/oct)
17/09/2025;-93,75;Virement delta achat (fond de travaux)
17/09/2025;-352,1;Virement delta achat (travaux a la charge vendeur depuis juillet 25)
19/09/2025;4123,5;PRET IMMO DEBLOCAGE DU 19/09/25
30/09/2025;-9,85;TENUE DE COMPTE
01/10/2025;-15,43;INTERETS DEBITEURS AU 30 09 25
02/10/2025;-1830,5;vir bourso mobilier (IKEA 1)
02/10/2025;-1671,99;vir bourso mobilier(IKEA 2)
02/10/2025;-249,96;vir bourso mobilier (frigo)
02/10/2025;-341,84;vir bourso mobilier (electro)
04/10/2025;-97,89;PRET IMMOBILIER ECH 04/10/25
06/10/2025;30,05;VIREMENT TOTALENERGIES ELECTRIC
06/10/2025;2508;PRET IMMO DEBLOCAGE DU 19/09/25
02/10/2025;-2508;VIR SEPA DR MACONNERIE
07/10/2025;-120;VIR SEPA DR MACONNERIE
08/10/2025;2000;VIR INST Louis GARNIER
13/10/2025;-419,02;PRET IMMOBILIER ECH 13/10/25
14/10/2025;680;VIR INST Gwenael Le Bourhis &
14/10/2025;2600;caution
30/10/2025;5,56;VIREMENT TOTALENERGIES ELECTRIC
04/11/2025;-97,79;PRET IMMOBILIER ECH 04/11/25
05/11/2025;1360;VIR INST Gwenael Le Bourhis &
05/11/2025;-35,33;PRLV SEPA TotalEnergies Electri
13/11/2025;-430,26;PRET IMMOBILIER ECH 13/11/25
17/11/2025;483,87;VIREMENT NOTAIRES DE LA COUPOLE
04/12/2025;-97,79;PRET IMMOBILIER ECH 04/12/25
05/12/2025;-33,52;PRLV SEPA TotalEnergies Electri
07/12/2025;1360;VIR INST Gwenael Le Bourhis &
13/12/2025;-430,26;PRET IMMOBILIER ECH 13/12/25
31/12/2025;-26,26;frais recherche ardress
31/12/2025;-9,85;tenue de compte
04/01/2026;-97,79;PRET IMMOBILIER ECH 04/01/26
07/01/2026;26,26;LCL CREDIT SATISFACTION
13/01/2026;-430,26;PRET IMMOBILIER ECH 13/01/26
15/01/2026;-995,21;PRLV SEPA 17D CAPITAINE GALINAT
19/01/2026;1060;VIR INST Gwenael Le Bourhis &
10/01/2026;299,5;VIR INST Gwenael Le Bourhis &
10/01/2026;-299,5;Lave linge
19/01/2026;-379,5;VIR INST MC AMIMIAUX
02/02/2026;1360;VIR INST Gwenael Le Bourhis &
