Date opération;Libellé opération;Montant;Devise
15/01/2026;VIR AIRBNB PAYMENTS LUXEMBOU G-EYQCRY5BM5MIKLAAJSZ7PAZ2O37ZL;170,56;EUR
12/01/2026;VIR AIRBNB PAYMENTS LUXEMBOU G-DE4YL7WM7QWE6MTHVVXMQCUO3KTWL;113,16;EUR
09/01/2026;VIR DE APPARTEMENT EVRY;2000;EUR
06/01/2026;VIR GETAROUND GQ08000001000001;12,96;EUR
05/01/2026;VIR AIRBNB PAYMENTS LUXEMBOU G-XAYETRIDKDVPNJWYMDXN635LO77UQ;105,78;EUR
05/01/2026;VIR AIRBNB PAYMENTS LUXEMBOU G-BYM6I222YG4T7RENC3CVHXL42ORC4;73,8;EUR
02/01/2026;VIR AIRBNB PAYMENTS LUXEMBOU G-ZY7WDWH5L7VXSEMCLP7HV4EN3BMKU;65,6;EUR
02/01/2026;VIR AIRBNB PAYMENTS LUXEMBOU G-UNR7KGGF4ITHVY3WDKZ2A7UKUVUEX;137,76;EUR
30/12/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-ZE7ROGLGC5S4PWE5OOQQ6HLF45V2S;153,34;EUR
30/12/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-DFFLDJ6JB4SBW34TSPEQDWPVWNO4P;113,16;EUR
29/12/2025;VIR GETAROUND GP95000001000001;157,04;EUR
15/12/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-KCDXIYU66QGMZI56MAKDGPNOMLPVD;153,34;EUR
09/12/2025;TAXE HABITATION;1048;EUR
08/12/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-TQ65I7JDW5ZACBNR2L3FR4JE7BLOH;153,34;EUR
01/12/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-43SCVP6P35SHIXWRD6UAN3QRLJQEP;129,56;EUR
24/11/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-5BKRKYPWR4A55LKCYOLTUZCMQXW2H;411,64;EUR
10/11/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-3KTJLWFGOUUZMXKLROM5SAI2BR3HK;147,6;EUR
07/11/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-WVMZ5SKH4OEVDQPNQT3FUDJKGSNWR;147,6;EUR
03/11/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-RJIFTEKNNBBC726Q2Z4VWD4HQYXSK;147,6;EUR
29/10/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-2TDJ3OKXS5BG42BFL2B2P5ISYE7JF;262,4;EUR
20/10/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-MO463RQ46PFL4BX6ONRXIADFZ5OGJ;100;EUR
20/10/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-5N5EGUCHGRNTJQVPRYTSFCDIU26ES;147,6;EUR
